Size                 0         1          4          16           64          256         1,024          4,096          16,192           65,536          262,144         1,048,576

Array               16        40         96         336        1,296        5,136        20,496         81,936         323,856        1,310,736        5,242,896        20,971,536
List                16        56        176         656        2,576       10,256        40,976        163,856         647,696        2,621,456       10,485,776        41,943,056
Vector              56       216        264         456        1,512        5,448        21,192         84,744         334,440        1,353,192        5,412,168        21,648,072
UnforcedStream       16       160        160         160          160          160           160            160             160              160              160               160
ForcedStream        16        56        176         656        2,576       10,256        40,976        163,856         647,696        2,621,456       10,485,776        41,943,056
Set                 16        32         96         968        3,904       13,696        59,216        235,784         895,000        3,904,152       14,360,720        60,859,304
Map                 16        56        176       1,696        6,792       26,048       109,536        430,920       1,674,744        7,055,936       26,947,032       111,210,416
SortedSet           40       104        248         824        3,128       12,344        49,208        196,664         777,272        3,145,784       12,582,968        50,331,704
Queue               40        80        200         680        2,600       10,280        41,000        163,880         647,720        2,621,480       10,485,800        41,943,080
m.Buffer           104       120        168         360        1,320        5,160        20,520         81,960         324,648        1,310,760        5,242,920        20,971,560
m.ArrayBuffer      104       120        168         360        1,320        5,160        20,520         81,960         324,648        1,310,760        5,242,920        20,971,560
m.ListBuffer        48        88        208         688        2,608       10,288        41,008        163,888         647,728        2,621,488       10,485,808        41,943,088
m.ArraySeq          40        64        120         360        1,320        5,160        20,520         81,960         323,880        1,310,760        5,242,920        20,971,560
m.Map              120       176        344       1,080        4,152       16,440        65,592        262,200       1,037,880        4,194,360       16,777,272        67,108,920
m.Set              184       200        248         568        2,104        8,248        32,824        131,128         521,272        2,097,208        8,388,664        33,554,488
m.Queue             48        88        208         688        2,608       10,288        41,008        163,888         647,728        2,621,488       10,485,808        41,943,088
m.PriQueue         144       160        208         464        1,616        6,224        24,656         98,384         324,688        1,572,944        6,291,536        25,165,904
m.Stack             32        72        192         672        2,592       10,272        40,992        163,872         647,712        2,621,472       10,485,792        41,943,072
m.SortedSet         64       120        288         960        3,648       14,400        57,408        229,440         906,816        3,670,080       14,680,128        58,720,320
String              40        48         48          56          104          296         1,064          4,136          16,232           65,576          262,184         1,048,616
ArrayBoolean        16        24         24          32           80          272         1,040          4,112          16,208           65,552          262,160         1,048,592
ArrayByte           16        24         24          32           80          272         1,040          4,112          16,208           65,552          262,160         1,048,592
ArrayShort          16        24         24          48          144          528         2,064          8,208          32,400          131,088          524,304         2,097,168
ArrayInt            16        24         32          80          272        1,040         4,112         16,400          64,784          262,160        1,048,592         4,194,320
ArrayLong           16        24         48         144          528        2,064         8,208         32,784         129,552          524,304        2,097,168         8,388,624
BoxArrayBoolean       16        40         64         112          304        1,072         4,144         16,432          64,816          262,192        1,048,624         4,194,352
BoxArrayByte        16        40         96         336        1,296        5,136         8,208         20,496          68,880          266,256        1,052,688         4,198,416
BoxArrayShort       16        40         96         336        1,296        5,136        20,496         81,936         323,856        1,310,736        5,230,608        20,910,096
BoxArrayInt         16        40         96         336        1,296        5,136        20,496         81,936         323,856        1,310,736        5,242,896        20,971,536
BoxArrayLong        16        48        128         464        1,808        7,184        28,688        114,704         453,392        1,835,024        7,340,048        29,360,144
j.List             216       240        312         600        1,944        7,320        28,824        114,840         454,296        1,835,160        7,340,184        29,360,280
j.Map              240       296        464       1,200        4,272       16,560        65,712        262,320       1,038,000        4,194,480       16,777,392        67,109,040
j.Set              296       312        360         680        2,216        8,360        32,936        131,240         521,384        2,097,320        8,388,776        33,554,600
