Size                 0         1          4          16           64          256         1,024          4,096          16,192           65,536          262,144         1,048,576

Array               16        40         96         336        1,296        5,136        20,496         81,936         323,856        1,310,736        5,242,896        20,971,536
List                16        56        176         656        2,576       10,256        40,976        163,856         647,696        2,621,456       10,485,776        41,943,056
Vector              40        56        112         352        1,360        5,320        21,160         84,616         334,336        1,353,064        5,412,064        21,648,064
UnforcedStream       16       144        144         144          144          144           144            144             144              144              144               144
ForcedStream        16        56        176         656        2,576       10,256        40,976        163,856         647,696        2,621,456       10,485,776        41,943,056
Set                 16        32         96         552        3,216       11,048        49,032        194,712         702,856        3,343,392       11,200,896        50,629,600
Map                 16        56        176       1,104        4,464       15,960        68,744        274,896       1,027,504        4,634,896       16,402,304        71,455,832
SortedSet           40        88        232         808        3,112       12,328        49,192        196,648         777,256        3,145,768       12,582,952        50,331,688
Queue               40        80        200         680        2,600       10,280        41,000        163,880         647,720        2,621,480       10,485,800        41,943,080
m.Buffer            40       120        168         360        1,320        5,160        20,520         81,960         323,880        1,310,760        5,242,920        20,971,560
m.ArrayBuffer      104       120        168         360        1,320        5,160        20,520         81,960         324,648        1,310,760        5,242,920        20,971,560
m.ListBuffer        48        88        208         688        2,608       10,288        41,008        163,888         647,728        2,621,488       10,485,808        41,943,088
m.ArraySeq          32        56        112         352        1,312        5,152        20,512         81,952         323,872        1,310,752        5,242,912        20,971,552
m.Map              112       176        368       1,200        4,656       18,480        73,776        294,960       1,167,408        4,718,640       18,874,416        75,497,520
m.Set              112       152        272         816        3,120       12,336        49,200        196,656         778,800        3,145,776       12,582,960        50,331,696
m.Queue            168       184        232         424        1,576        6,184        24,616         98,344         324,648        1,572,904        6,291,496        25,165,864
m.PriQueue         152       168        216         472        1,624        6,232        24,664         98,392         324,696        1,572,952        6,291,544        25,165,912
m.Stack            168       184        232         424        1,576        6,184        24,616         98,344         324,648        1,572,904        6,291,496        25,165,864
m.SortedSet         64       120        288         960        3,648       14,400        57,408        229,440         906,816        3,670,080       14,680,128        58,720,320
String              40        48         48          56          104          296         1,064          4,136          16,232           65,576          262,184         1,048,616
ArrayBoolean        16        24         24          32           80          272         1,040          4,112          16,208           65,552          262,160         1,048,592
ArrayByte           16        24         24          32           80          272         1,040          4,112          16,208           65,552          262,160         1,048,592
ArrayShort          16        24         24          48          144          528         2,064          8,208          32,400          131,088          524,304         2,097,168
ArrayInt            16        24         32          80          272        1,040         4,112         16,400          64,784          262,160        1,048,592         4,194,320
ArrayLong           16        24         48         144          528        2,064         8,208         32,784         129,552          524,304        2,097,168         8,388,624
BoxArrayBoolean       16        40         64         112          304        1,072         4,144         16,432          64,816          262,192        1,048,624         4,194,352
BoxArrayByte        16        40         96         336        1,296        5,136         8,208         20,496          68,880          266,256        1,052,688         4,198,416
BoxArrayShort       16        40         96         336        1,296        5,136        20,496         81,936         323,856        1,310,736        5,230,608        20,910,096
BoxArrayInt         16        40         96         336        1,296        5,136        20,496         81,936         323,856        1,310,736        5,242,896        20,971,536
BoxArrayLong        16        48        128         464        1,808        7,184        28,688        114,704         453,392        1,835,024        7,340,048        29,360,144
j.List              64       152        224         512        1,856        7,232        28,736        114,752         453,440        1,835,072        7,340,096        29,360,192
j.Map              144       208        400       1,232        4,688       18,512        73,808        294,992       1,167,440        4,718,672       18,874,448        75,497,552
j.Set              136       176        296         840        3,144       12,360        49,224        196,680         778,824        3,145,800       12,582,984        50,331,720
